n,p,J,E,Delta_E,State,Parity
8,4,19,8470,,,
8,4,19,8647,,1,
8,4,20,8647,,1,
8,4,20,8912,,,
9,4,9/2,0,,,
9,4,13/2,"1392,11",,,
9,4,17/2,"1936,3",,,
9,4,17/2,"2129,4",,,
9,4,21/2,"2082,5",,,
9,4,15/2,"2112,8",,,
9,4,23/2,"2733,7",,,
9,4,25/2,"3121,1",,,
9,4,25/2,"3375,5",,,
9,4,27/2,4022,,,
9,4,29/2,"4500,2",,,
9,4,31/2,"5271,7",,,
9,4,33/2,"5342,7",,,
5,5,0,0,,,
6,5,9/2,0,,,
6,5,13/2,"840,41",,,
6,5,17/2,"1787,01",,,
6,5,21/2,"2655,4",,,
6,5,25/2,"3102,6",,,
6,5,29/2,"4135,9",,,
7,5,2,0,,,
7,5,8,235,,,
7,5,9,"599,1",,,
7,5,10,"1270,9",,,
7,5,11,"1548,6",,,
7,5,13,"2536,6",,,
7,5,15,"3196,6",,,
7,5,17,"4313,6",,,
7,5,19,"5418,6",,,
7,5,20,6029,,,
7,5,21,6305,,,
8,5,9/2,0,,,
8,5,7/2,"240,1",,,
8,5,5/2,"621,9",,,
8,5,13/2,"852,9",,,
8,5,11/2,"894,2",,,
8,5,7/2,"1451,1",,,
8,5,13/2,"1463,9",,,
8,5,9/2,"1630,1",,,
8,5,11/2,"1718,4",,,
8,5,17/2,"1718,9",,,
8,5,21/2,"2052,31",,,
8,5,5/2,"2197,8",,,
8,5,23/2,"2595,1",,,
8,5,25/2,"2890,5",,,
8,5,25/2,3543,,,
8,5,27/2,4089,,,
8,5,29/2,"4252,1",,,
8,5,31/2,"4549,1",,,
8,5,33/2,"4708,1",,,
8,5,35/2,"5159,2",,,
8,5,37/2,"5622,8",,,
8,5,41/2,"6924,5",,,
9,5,4,0,1,,
9,5,2,"54,6",1,,
9,5,1,"612,8",1,,
9,5,1,1670,1,,
9,5,1,2626,1,,
9,5,1,2910,1,,
9,5,8,0,,,
9,5,9,"576,47",,,
9,5,10,"1279,74",,,
9,5,12,"1896,43",,,
9,5,13,"2546,6",,,
9,5,14,"3120,7",,,
9,5,15,"3164,9",,,
9,5,17,"4498,4",,,
6,6,0,6,,,
6,6,2,7,,,
6,6,4,8,,,
6,6,6,9,,,
7,6,9/2,10,,,
7,6,13/2,11,,,
7,6,15/2,12,,,
7,6,17/2,13,,,
7,6,17/2,14,,,
7,6,19/2,15,,,
7,6,21/2,16,,,
7,6,25/2,17,,,
7,6,29/2,18,,,
7,6,33/2,19,,,
7,6,37/2,20,,,
7,6,39/2,21,,,
7,6,41/2,22,,,
7,6,45/2,23,,,
8,6,0,24,,,
8,6,2,25,,,
8,6,4,26,,,
8,6,6,27,,,
8,6,6,28,,,
8,6,8,29,,,
8,6,8,30,,,
8,6,6,31,,,
8,6,10,32,,,
8,6,12,33,,,
8,6,14,34,,,
8,6,15,35,,,
8,6,16,36,,,
8,6,18,37,,,
8,6,20,38,,,
9,6,9/2,0,,,
9,6,11/2,"1261,8",,,
9,6,13/2,"1351,12",,,
9,6,7/2,1686,,,
9,6,9/2,43,,1,
9,6,11/2,44,,1,
9,6,7/2,45,,1,
9,6,9/2,"1800,78",,,
9,6,11/2,47,,1,
9,6,21/2,"1875,13",,,
9,6,17/2,"1878,5",,,
9,6,15/2,"1973,02",,,
9,6,23/2,"2565,78",,,
9,6,7/2,52,,1,
9,6,9/2,53,,1,
9,6,11/2,54,,1,
9,6,25/2,"2696,1",,,
9,6,29/2,"4070,5",,,
9,6,27/2,"4076,2",,,
9,6,33/2,"4750,5",,,
7,7,0,59,,,
7,7,7,60,1,,
7,7,21,61,1,,
8,7,9/2,62,,,
8,7,7/2,63,,,
8,7,11/2,64,,,
8,7,13/2,65,,,
8,7,15/2,66,,,
8,7,17/2,67,,,
8,7,23/2,68,,,
8,7,25/2,69,,,
8,7,21/2,70,,,
8,7,29/2,71,,,
8,7,37/2,72,,,
9,8,9/2,0,,,
9,9,0,74,,1,
9,9,9,75,,1,
0,2,0,76,,,
2,2,0,77,,,
2,2,2,78,,,
2,2,4,79,,,
2,2,6,80,,,
2,2,8,81,,,
2,2,10,82,,,
3,2,9/2,83,150,,
3,2,13/2,84,150,,
3,2,17/2,85,150,,
3,2,21/2,86,150,,
3,2,29/2,87,150,,
3,2,33/2,88,150,,
4,2,0,89,,,
4,2,2,90,,,
4,2,2,91,,,
4,2,3,92,,,
4,2,4,93,,,
4,2,4,94,,,
4,2,6,95,,,
4,2,5,96,,,
4,2,8,97,,,
4,2,10,98,,,
4,2,12,99,,,
4,2,14,100,,,
4,2,14,101,,,
4,2,15,102,,,
4,2,16,103,,,
5,2,7/2,104,,,
5,2,9/2,105,,,
5,2,11/2,106,,,
5,2,13/2,107,,,
5,2,15/2,108,,,
5,2,15/2,109,,,1
5,2,17/2,110,,,
5,2,17/2,111,,,1
5,2,19/2,112,,,1
5,2,21/2,113,,,
5,2,21/2,114,,,
5,2,21/2,115,,,1
5,2,23/2,116,,,1
5,2,27/2,117,,,
5,2,27/2,118,,,1
5,2,29/2,119,,,1
5,2,29/2,120,,,
